,商品名,价格,详情链接,图片,总销量,评价数,上市时间,产品名称,功能,品牌,图案,尺码,插片,搭扣排数,文胸款式,文胸系列,文胸风格,是否商场同款,月销量,有无钢圈,服装款式细节,模杯面料,款号,罩杯厚度,罩杯款式,罩杯里料,罩杯里料成分含量,肩带样式,适用季节,适用对象,面料俗称,颜色分类,侧翼里料,侧翼面料,内裤尺码,文胸功能,文胸外型设计,罩杯里料材质成分,罩杯面料,裆部材质成分,销售渠道类型,内裤款式,腰型
0,Triumph/黛安芬性感蕾丝内衣薄款有钢圈大胸上托支撑文胸E002469,199.00,https://detail.tmall.com/item.htm?id=564769806932&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i2/929347050/O1CN0121wwjKL1uHXY657_!!0-item_pic.jpg,,8265,2018年春季,Triumph/黛安芬E002469,上托,Triumph/黛安芬,植物花卉,75B75C75D75E80B80C80D80E85B85C85D85E90C90D,插片袋,后四排搭扣,U型,GPP,简约,是,1614,有钢圈,蕾丝边,锦纶,E002469,薄棉杯,全罩杯,聚酯纤维,95%以上,固定双肩带,春季,青年女性,锦纶,肤色-5G黑色-04迷幻蓝-2N橙色-6K,,,,,,,,,,,
1,Triumph/黛安芬大胸内衣性感蕾丝文胸薄款有钢圈支撑胸罩19-575I,159.00,https://detail.tmall.com/item.htm?id=15620105540&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i3/929347050/O1CN0121wwjiDchoPYqO6_!!0-item_pic.jpg,,79,2010年以前,Triumph/黛安芬19-575I,调整,Triumph/黛安芬,植物花卉,70B70C70D75B75C75D75E80B80C80D80E85B85C85D85E90B90C90D,无插片,混合搭扣,U型,经典系列,简约,是,1764,有钢圈,蕾丝边,锦纶,19-575I,薄模杯,3/4,锦纶,95%以上,固定双肩带,夏季,青年女性,蕾丝面料,黑色-04肤色-NZ红色-IX砖红-CN浅紫色-UX,,,,,,,,,,,
2,Triumph/黛安芬集中光杯无痕内衣薄杯聚拢无钢圈舒适文胸E002985,199.00,https://detail.tmall.com/item.htm?id=585614495383&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i3/929347050/O1CN01Dozf9921wwlVNUBgQ_!!0-item_pic.jpg,,99,2019年春季,Triumph/黛安芬E002985,无痕,Triumph/黛安芬,纯色,70B70C75A75B75C80A80B80C85A85B85C,无插片,后双排搭扣,T型,,简约,是,978,无钢圈,,,E002985,薄杯,3/4,聚酯纤维,,固定双肩带,,青年女性,,肉粉色-VV黑色-04珊瑚色-6W灰紫色-9J,,,,,,,,,,,
3,Triumph/黛安芬无痕内衣薄款文胸夏季舒适大胸支撑型文胸E002478,199.00,https://detail.tmall.com/item.htm?id=562993685574&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i2/929347050/O1CN0121wwjKgeN1TEeid_!!0-item_pic.jpg,,99,2017年冬季,Triumph/黛安芬E002478,无痕,Triumph/黛安芬,纯色,70B70C70D75B75C75D80B80C80D,无插片,混合搭扣,U型,简约,简约,是,1386,有钢圈,光面,其他,E002478,薄杯,3/4,聚酯纤维,95%以上,固定双肩带,夏季,青年女性,其他,黑色-04灰色-Z9肤色-S5,,,,,,,,,,,
4,Triumph/黛安芬内衣女聚拢小胸性感文胸收副乳集中型胸罩E001879,199.00,https://detail.tmall.com/item.htm?id=527261975863&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i2/929347050/O1CN01krASIs21wwjfMzYzm_!!0-item_pic.jpg,,8168,2016年春季,Triumph/黛安芬E001879,聚拢,Triumph/黛安芬,植物花卉,70A70B70C75A75B75C80A80B80C85A85B,棉垫,后三排搭扣,T型,花漾晶灵,简约,是,1738,有钢圈,蕾丝边,其他,E001879,上薄下厚模杯,3/4,其他,61%(含)-80%(含),可拆卸双肩带,春季,青年女性,其他,粉红色-XL黑色-04肤色-NZ,,,,,,,,,,,
5,Triumph/黛安芬性感刺绣蕾丝内衣女全罩杯薄款支撑型文胸E002635,229.00,https://detail.tmall.com/item.htm?id=574850946488&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i4/929347050/O1CN01FIp6IU21wwlijk3yt_!!0-item_pic.jpg,,1837,2018年秋季,Triumph/黛安芬E002635,上托,Triumph/黛安芬,植物花卉,75B75C75D75E80B80C80D80E85B85C85D85E90C90D,棉垫,后四排搭扣,U型,GPP,性感,是,1040,有钢圈,蕾丝边,其他,E002635,薄杯,全罩杯,聚酯纤维,81%(含)-95%(含),固定双肩带,秋季,青年女性,蕾丝面料,紫色-2W肉粉色-DG粉色-LW灰紫色-9J,,,,,,,,,,,
6,Triumph/黛安芬内衣钢圈聚拢小胸收副乳舒适集中无痕文胸E002472,179.00,https://detail.tmall.com/item.htm?id=568255667305&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i4/929347050/O1CN01jKc1AK21wwnKWvsAI_!!0-item_pic.jpg,,89,2018年春季,Triumph/黛安芬E002472,无痕,Triumph/黛安芬,纯色,70B75A75B75C80A80B80C85A85B,无插片,后双排搭扣,U型,GPP,简约,是,798,有钢圈,光面,其他,E002472,上薄下厚模杯,3/4,聚酯纤维,100%,固定双肩带,春季,青年女性,其他,淡蓝色-6F黑色-04粉色-GJ肉粉色-VV浅棕色-20藏蓝色-DW珊瑚色-6W灰紫色-9J,,,,,,,,,,,
7,Triumph/黛安芬内衣女薄款全罩杯大胸支撑型蕾丝性感文胸E001638,199.00,https://detail.tmall.com/item.htm?id=551894014164&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i1/929347050/O1CN0121wwjKp6xNKeyUC_!!0-item_pic.jpg,,8720,2017年夏季,Triumph/黛安芬E001638N...,上托,Triumph/黛安芬,植物花卉,75B75C75D75E80B80C80D80E85B85C85D85E90D,无插片,混合搭扣,U型,繁花似锦,简约,是,1224,有钢圈,蕾丝边,其他,E001638NZ,薄模杯,全罩杯,锦纶,95%以上,固定双肩带,夏季,青年女性,聚酯纤维,肤色-NZ黑色-04粉色-94,,,,,,,,,,,
8,Triumph/黛安芬无痕舒适内衣女胸罩薄款大胸支撑型文胸E002418,199.00,https://detail.tmall.com/item.htm?id=564088152692&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i2/929347050/O1CN0121wwjiDQURf2nQ5_!!0-item_pic.jpg,,99,2017年秋季,Triumph/黛安芬E002418F...,无痕,Triumph/黛安芬,纯色,75B75C75D75E80B80C80D80E85B85C85D85E,无插片,后三排搭扣,U型,,简约,是,1011,有钢圈,蕾丝边,,E002418FU,薄杯,全罩杯,棉,21%(含)-40%(含),固定双肩带,秋季,青年女性,,灰色-FU肉粉色-VV深蓝色-TE,,,,,,,,,,,
9,Triumph/黛安芬内衣女小胸聚拢文胸深V水袋杯蕾丝性感文胸16-8169,229.00,https://detail.tmall.com/item.htm?id=563132583561&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i1/929347050/O1CN01nUjATW21wwjeN96iI_!!0-item_pic.jpg,,114,2017年冬季,Triumph/黛安芬16-8169,聚拢,Triumph/黛安芬,纯色,70A70B70C75A75B75C80A80B80C,水袋,后双排搭扣,T型,水盈繁花,简约,是,754,有钢圈,蕾丝边,其他,16-8169,上薄下厚模杯,3/4,锦纶,100%,固定双肩带,夏季,青年女性,其他,粉色-EZ紫色-6P橙色-6K肤色-EP深海蓝-WG灰黑色-DK,,,,,,,,,,,
10,Triumph/黛安芬内衣薄款带钢圈调整胸罩舒适承托无痕文胸E002475,179.00,https://detail.tmall.com/item.htm?id=568373496491&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i2/929347050/O1CN01FjSqd121wwnHZ87F1_!!0-item_pic.jpg,,89,2018年春季,Triumph/黛安芬E002475,无痕,Triumph/黛安芬,纯色,75C75D75E80C80D80E85C85D85E90C90D90E,无插片,后四排搭扣,U型,GPP,简约,是,854,有钢圈,光面,聚酯纤维,E002475,薄杯,全罩杯,聚酯纤维,100%,固定双肩带,夏季,青年女性,聚酯纤维,黑色-04淡蓝色-6F肉粉色-VV浅棕色-20藏蓝色-DW珊瑚色-6W灰紫色-9J,,,,,,,,,,,
11,Triumph/黛安芬性感蕾丝内衣女无钢圈薄款大胸支撑型文胸11-1613,199.00,https://detail.tmall.com/item.htm?id=574738971514&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i1/929347050/O1CN01mPuORf21wwmzB4sFz_!!0-item_pic.jpg,,99,2018年秋季,Triumph/黛安芬11-1613,上托,Triumph/黛安芬,纯色,70C75B75C75D80B80C80D85B85C85D,无插片,后双排搭扣,U型,GPP,性感,是,1123,无钢圈,蕾丝边,其他,11-1613,薄杯,全罩杯,聚酯纤维,,固定双肩带,秋季,青年女性,蕾丝面料,肤色-NZ灰黑色-DK粉色-BC深海蓝-WG,,,,,,,,,,,
12,Triumph/黛安芬光杯无痕内衣薄杯集中聚拢无钢圈舒适文胸E002476,199.00,https://detail.tmall.com/item.htm?id=564765202730&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i4/929347050/O1CN01Ah5VAo21wwjiDSZO7_!!0-item_pic.jpg,,5579,2018年春季,Triumph/黛安芬E002476,聚拢,Triumph/黛安芬,纯色,70B70C75A75B75C80A80B80C,无插片,后双排搭扣,T型,GPP,简约,是,943,无钢圈,光面,其他,E002476,薄棉杯,3/4,聚酯纤维,95%以上,固定双肩带,春季,青年女性,莫代尔面料,黑色-04粉色-MZ肤色-S5灰色-Z9,,,,,,,,,,,
13,Triumph/黛安芬内衣聚拢小胸收副乳集中文胸性感蕾丝胸罩H16-089,159.00,https://detail.tmall.com/item.htm?id=35613509507&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i2/929347050/O1CN0121wwjfMzdHGbe1c_!!0-item_pic.jpg,,14334,2010年以前,Triumph/黛安芬H16-089,聚拢,Triumph/黛安芬,纯色,70A70B75A75B80A80B,水袋,后单排搭扣,U型,经典系列,简约,是,1520,有钢圈,蕾丝边,其他,H16-089,上薄下厚模杯,3/4,锦纶,95%以上,固定双肩带,秋季,青年女性,蕾丝面料,肤色砖红色,,,,,,,,,,,
14,Triumph/黛安芬性感蕾丝内衣女集中泡棉杯小胸无痕型文胸E003002,199.00,https://detail.tmall.com/item.htm?id=585321929210&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i1/929347050/O1CN01UjdIC021wwlVNeWhA_!!0-item_pic.jpg,,99,2019年春季,Triumph/黛安芬E003002,聚拢,Triumph/黛安芬,纯色,70A70B70C75A75B75C80A80B80C85B,无插片,后双排搭扣,T型,,性感,是,826,有钢圈,,,E003002,上薄下厚模杯,3/4,锦纶,,固定双肩带,,青年女性,,桔色-5B黑色-04灰蓝色-AY,,,,,,,,,,,
15,Triumph/黛安芬内衣女性感蕾丝胸罩薄杯透气支撑文胸套装19-575I,298.00,https://detail.tmall.com/item.htm?id=539137284584&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i3/929347050/O1CN01mnJnp121wwjewi0Ur_!!0-item_pic.jpg,,35766,2010年以前,,,黛安芬,植物花卉,70B70C70D75B75C75D75E80B80C80D80E85B85C85D85E90B90C90D,无插片,混合搭扣,,,简约,,4799,有钢圈,蕾丝边,其他,19-575IYS,薄模杯,3/4,锦纶,95%以上,固定双肩带,夏季,青年女性,其他,砖红+肤色-CN+NZ肤色+肤色-NZ+NZ肤色NZ+黑色04黑+黑-0404黑色+砖红-04CN黑色04+红色IX肤色NZ+红色IX浅紫色UX+肤色NZ浅紫色UX+黑色04,其他,锦纶,其他,上托,U型,聚酰胺纤维(锦纶)100%,锦纶,其他100%,商场同款(线上线下都销售),,
16,Triumph/黛安芬性感蕾丝内衣女有钢圈收副乳大胸支撑文胸E002678,229.00,https://detail.tmall.com/item.htm?id=574663314854&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i2/929347050/O1CN01eMYmnN21wwlVOBcgL_!!0-item_pic.jpg,,1727,2018年秋季,Triumph/黛安芬E002678,上托,Triumph/黛安芬,植物花卉,75A75B75C75D75E80A80B80C80D80E85B85C85D,棉垫,后三排搭扣,U型,GPP,性感,是,702,有钢圈,蕾丝边,锦纶,e002678,上薄下厚模杯,3/4,聚酯纤维,61%(含)-80%(含),固定双肩带,秋季,青年女性,蕾丝面料,紫色-2W肉粉色-DG藏蓝色-DW粉色-LW白色-03灰紫色-9J,,,,,,,,,,,
17,Triumph/黛安芬内衣胸罩女无钢圈舒适无痕3/4杯薄模杯文胸E000997,199.00,https://detail.tmall.com/item.htm?id=528737962611&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i4/929347050/O1CN0121wwjJ1hPagPvUp_!!0-item_pic.jpg,,4959,2016年春季,Triumph/黛安芬E000997,无痕,Triumph/黛安芬,纯色,70B70C75A75B75C80A80B80C,无插片,后双排搭扣,U型,,简约,是,780,无钢圈,一片式,,E000997,薄模杯,3/4,其他,95%以上,固定双肩带,春季,青年女性,,肤色-EP04-黑色,,,,,,,,,,,
18,Triumph/黛安芬内衣胸罩花朵蕾丝边集中型聚拢文胸套装E001206,258.00,https://detail.tmall.com/item.htm?id=527306978190&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i4/929347050/O1CN01S72nhG21wwji2BQfU_!!0-item_pic.jpg,,129,2016年春季,,,黛安芬,植物花卉,75A+M75B+M75C+M80A+L80B+L80C+L85A+EL85B+EL,棉垫,后双排搭扣,,,性感,,516,有钢圈,蕾丝边,其他,E001206,上薄下厚模杯,3/4,棉,21%(含)-40%(含),可拆卸双肩带,夏季,青年女性,其他,深肤色-T5紫灰色-Z9,锦纶,其他,MLXL,聚拢,U型,聚酯纤维65%棉35%,其他,聚酯纤维65%棉35%,,三角裤,中腰
19,Triumph/黛安芬内衣小胸聚拢文胸可拆卸肩带蕾丝性感胸罩E001206,199.00,https://detail.tmall.com/item.htm?id=527264255463&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i4/929347050/O1CN0157Rfj921wwjewlZ0A_!!0-item_pic.jpg,,99,2016年春季,Triumph/黛安芬E001206,聚拢,Triumph/黛安芬,植物花卉,70A70B70C75A75B75C80A80B80C85A85B,棉垫,后双排搭扣,U型,花漾晶灵,性感,是,806,有钢圈,蕾丝边,其他,E001206,上薄下厚模杯,3/4,棉,21%(含)-40%(含),可拆卸双肩带,春季,青年女性,其他,紫灰色-Z9深肤色-T5,,,,,,,,,,,
20,Triumph/黛安芬内衣女小胸聚拢文胸带钢圈舒适集中型文胸H16-218,149.00,https://detail.tmall.com/item.htm?id=16609543346&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i3/929347050/O1CN0121wwjgVfVj0d1b4_!!0-item_pic.jpg,,5077,2010年以前,Triumph/黛安芬H16-218,聚拢,Triumph/黛安芬,纯色,70A70B70C75A75B75C80A80B80C,棉垫,混合搭扣,U型,经典系列,简约,是,712,有钢圈,光面,其他,H16-218,上薄下厚模杯,3/4,棉,95%以上,固定双肩带,夏季,青年女性,棉质面料,红色-IX肤色-BW紫色-JB黑色-04,,,,,,,,,,,
21,Triumph/黛安芬经典内衣套装性感聚拢小胸集中型文胸套装H16-218,258.00,https://detail.tmall.com/item.htm?id=539384906794&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i1/929347050/O1CN0121wwjh5ciWUVb6X_!!0-item_pic.jpg,,129,2010年以前,,,黛安芬,纯色,70A70B70C75A75B75C80A80B80C,棉垫,混合搭扣,,,简约,,2694,有钢圈,光面,其他,H16-218NYZHYS,上薄下厚模杯,3/4,棉,95%以上,固定双肩带,夏季,青年女性,其他,黑色/04+红色/IX肤色/BW+红色/IXBW+BW-肤色+肤色BW/肤色+JB/紫色BW/肤色+04/黑色JB/紫色+04/黑色,锦纶,锦纶,,聚拢,U型,棉100%,其他,其他100%,商场同款(线上线下都销售),,
22,Triumph/黛安芬魔力塑撑小胸聚拢文胸轻丰舒适无痕内衣女11-1562,179.00,https://detail.tmall.com/item.htm?id=564761637769&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i3/929347050/O1CN01u0VTRW21wwlpIVabH_!!0-item_pic.jpg,,89,2018年春季,Triumph/黛安芬11-1562,无痕,Triumph/黛安芬,纯色,70B70C75A75B75C80A80B80C85A85B,无插片,后双排搭扣,T型,魔力塑撑,简约,是,569,无钢圈,光面,其他,11-1562,上薄下厚模杯,3/4,聚酯纤维,95%以上,固定双肩带,夏季,青年女性,其他,黑色-04白色-GZ肤色-EP灰蓝色-AY,,,,,,,,,,,
23,Triumph/黛安芬性感蕾丝内衣女薄款无钢圈舒适聚拢型文胸11-1602,259.00,https://detail.tmall.com/item.htm?id=574525269384&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i4/929347050/O1CN01VzLIM821wwlSBLlQ5_!!0-item_pic.jpg,,129,2018年秋季,Triumph/黛安芬11-1602,聚拢,Triumph/黛安芬,纯色,70B70C70D75B75C75D80B80C80D,无插片,后双排搭扣,T型,GPP,性感,是,550,无钢圈,蕾丝边,其他,11-1602,薄杯,3/4,锦纶,100%,可拆卸双肩带,秋季,青年女性,蕾丝面料,梅紫色-3M灰蓝色-AY墨绿色-Z4红色-42米黄色-38肤色-EP,,,,,,,,,,,
24,Triumph/黛安芬无钢圈内衣女小胸聚拢舒适集中型无痕文胸E002525,199.00,https://detail.tmall.com/item.htm?id=568372084082&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i2/929347050/O1CN01Zqv4D421wwlXwyxv8_!!0-item_pic.jpg,,99,2018年春季,Triumph/黛安芬E002525,无痕,Triumph/黛安芬,纯色,70A70B70C75A75B75C80A80B80C85A85B85C,无插片,后三排搭扣,T型,GPP,简约,是,2536,无钢圈,光面,其他,E002525,上薄下厚模杯,3/4,聚酯纤维,100%,固定双肩带,春季,青年女性,聚酯纤维,黑色-04淡蓝色-6F粉色-GJ肉粉色-VV浅棕色-20藏蓝色-DW珊瑚色-6W灰紫色-9J,,,,,,,,,,,
25,Triumph/黛安芬无痕内衣薄款稳定承托收副乳舒适大胸文胸E001991,199.00,https://detail.tmall.com/item.htm?id=539374123334&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i4/929347050/O1CN0121wwjKgf2aIOitA_!!0-item_pic.jpg,,99,2016年夏季,Triumph/黛安芬E001991Y...,上托,Triumph/黛安芬,纯色,75B75C75D80B80C80D85B85C,无插片,后三排搭扣,U型,心莹清雅,简约,是,573,有钢圈,光面,其他,E001991YS,薄棉杯,3/4,聚酯纤维,61%(含)-80%(含),固定双肩带,夏季,青年女性,其他,黑色-EE粉色-XL,,,,,,,,,,,
26,【正式】Triumph/黛安芬蕾丝性感内衣女聚拢集中文胸套装E001879,258.00,https://detail.tmall.com/item.htm?id=559186264152&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i3/929347050/TB1uI4VrUR1BeNjy0FmXXb0wVXa_!!0-item_pic.jpg,,129,2016年春季,,,黛安芬,植物花卉,70A+M70B+M70C+M75A+L75B+L75C+L80A+EL80B+EL80C+EL85A+EL85B+EL,棉垫,后三排搭扣,,,简约,,360,有钢圈,蕾丝边,其他,E001879TZYS,上薄下厚模杯,3/4,棉,21%(含)-40%(含),可拆卸双肩带,夏季,青年女性,其他,粉红色-XL黑色-04肤色-NZ,锦纶,其他,MLXL,聚拢,U型,聚酯纤维65%棉35%,其他,聚酯纤维65%棉35%,商场同款(线上线下都销售),三角裤,低腰
27,Triumph/黛安芬旗下ESSENCE性感蕾丝水袋杯小胸聚拢型文胸16-8090,299.00,https://detail.tmall.com/item.htm?id=566455020312&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i3/929347050/O1CN0121wwj4Ho8z2To3n_!!2-item_pic.png,,281,2018年春季,Triumph/黛安芬16-8090,聚拢,Triumph/黛安芬,植物花卉,70B70C75A75B75C80A80B80C85A,无插片,后双排搭扣,T型,,奢华,是,261,有钢圈,蕾丝边,,16-8090,上薄下厚模杯,3/4,聚酯纤维,61%(含)-80%(含),固定双肩带,,青年女性,,藏蓝色-WD嫩绿色-G5深紫色-V9,,,,,,,,,,,
28,Triumph/黛安芬文胸蕾丝舒适水袋杯小胸聚拢集中性感内衣16-8168,229.00,https://detail.tmall.com/item.htm?id=563053602343&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i3/929347050/O1CN0121wwj4Xl3MCHBMk_!!0-item_pic.jpg,,114,2017年冬季,Triumph/黛安芬16-8168,聚拢,Triumph/黛安芬,纯色,70A70B70C75A75B75C80A80B80C,水袋,混合搭扣,T型,水盈繁花,简约,是,686,有钢圈,蕾丝边,其他,16-8168,上薄下厚模杯,3/4,锦纶,100%,固定双肩带,夏季,青年女性,其他,粉色-EZ灰黑色-DK紫色-6P梅紫色-3M米黄色-38,,,,,,,,,,,
29,Triumph/黛安芬内衣女经典薄款胸罩大胸支撑性感蕾丝文胸H16-226,149.00,https://detail.tmall.com/item.htm?id=15619125079&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i2/929347050/O1CN01vsBIkE21wwjgoG9gY_!!0-item_pic.jpg,,74,2010年以前,Triumph/黛安芬H16-226,上托,Triumph/黛安芬,植物花卉,70B75B75C75D80B80C80D85B85C85D,无插片,混合搭扣,T型,经典系列,简约,是,515,有钢圈,提花,其他,H16-226,薄模杯,3/4,锦纶,95%以上,固定双肩带,夏季,青年女性,蕾丝面料,肤色-NZ紫色-UX,,,,,,,,,,,
30,Triumph/黛安芬性感蕾丝内衣女柔软收副乳大胸支撑型文胸16-8296,199.00,https://detail.tmall.com/item.htm?id=572952797492&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i4/929347050/O1CN01P4xQLe21wwlQCtVMT_!!0-item_pic.jpg,,1795,2018年秋季,Triumph/黛安芬16-8296,上托,Triumph/黛安芬,植物花卉,75B75C75D80B80C80D85B85C85D,棉垫,后三排搭扣,U型,SimplyNaturalBeauty,性感,是,449,有钢圈,蕾丝边,锦纶,16-8296,上薄下厚模杯,3/4,聚酯纤维,61%(含)-80%(含),固定双肩带,秋季,青年女性,蕾丝面料,DK-灰黑色BC-粉色WG-深蓝色NZ-肤色RX-紫红色,,,,,,,,,,,
31,Triumph/黛安芬记忆枕立体蕾丝内衣女小胸集中聚拢型文胸16-6000,229.00,https://detail.tmall.com/item.htm?id=41882315634&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i4/929347050/TB1vBlPsVuWBuNjSszbXXcS7FXa_!!0-item_pic.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
